CaseID,CompleteTimestamp,Vessel,ActivityID,lifecycle:transition,event_id
21B24001E,2021-02-28 10:08:51.837,R501,Pump start,complete,7
21B24001E,2021-02-28 10:10:57.416,R501,Pump adjustment,complete,8
21B24001E,2021-02-28 10:11:11.128,R501,Pump adjustment,complete,9
21B24001E,2021-02-28 10:11:26.127,R501,Pump adjustment,complete,10
21B24001E,2021-02-28 14:27:49.913,R501,Pump stop,complete,11
21B24001E,2021-02-28 14:40:38.500,R501,Pump adjustment,complete,12
21B24001E,2021-02-28 14:51:51.332,R501,Pump stop,complete,13
21B24001E,2021-02-28 14:53:12.000,R501,Circulation Prewet,complete,14
21B23001E,2021-03-01 04:58:38.000,R602,Bottling,start,26
21B23001E,2021-03-01 05:36:03.000,R602,Circulation,complete,27
21B23001E,2021-03-01 18:09:37.216,R602,Pump stop,complete,28
21B23001E,2021-03-01 18:16:30.000,R602,Bottling,complete,29
21B24001E,2021-03-02 06:45:41.000,R501,Charging,start,15
21B21001E,2021-03-02 08:08:55.674,R601,Agitator stop,complete,63
21B21001E,2021-03-02 08:09:00.000,R601,Agitation,complete,64
21B24001E,2021-03-02 08:22:47.000,R501,Charging,complete,16
21B24001E,2021-03-02 08:23:05.068,R501,Agitator start,complete,17
21B24001E,2021-03-02 08:25:20.000,R501,Agitation,start,18
21B24001E,2021-03-02 09:28:53.742,R501,Pump adjustment,complete,19
21B24001E,2021-03-02 09:44:09.159,R501,Pump adjustment,complete,20
21B24001E,2021-03-02 09:44:12.671,R501,Pump start,complete,21
21B24001E,2021-03-02 09:44:35.758,R501,Pump stop,complete,22
21B24001E,2021-03-02 09:44:59.166,R501,Pump adjustment,complete,23
21B24001E,2021-03-02 09:45:02.633,R501,Pump start,complete,24
21B24001E,2021-03-02 09:45:44.484,R501,Pump adjustment,complete,25
21B24001E,2021-03-02 09:46:32.981,R501,Pump adjustment,complete,26
21B24001E,2021-03-02 09:48:18.893,R501,Pump stop,complete,27
21B24001E,2021-03-02 09:49:47.856,R501,Pump adjustment,complete,28
21B24001E,2021-03-02 09:49:52.207,R501,Pump start,complete,29
21B24001E,2021-03-02 09:50:05.766,R501,Pump adjustment,complete,30
21B24001E,2021-03-02 09:50:21.160,R501,Pump adjustment,complete,31
21B24001E,2021-03-02 09:50:58.000,R501,Circulation,start,32
21B24001E,2021-03-02 10:01:55.743,R501,Pump adjustment,complete,33
21B24001E,2021-03-02 14:08:29.263,R501,Agitator stop,complete,34
21B24001E,2021-03-02 20:05:24.824,R501,Pump stop,complete,35
21B21001E,2021-03-03 06:17:34.000,R601,Bottling,start,65
21B21001E,2021-03-03 07:40:32.000,R601,Circulation,complete,66
21B26001E,2021-03-03 08:14:58.000,R602,Charging,start,0
21B26001E,2021-03-03 10:27:09.000,R602,Charging,complete,1
21B26001E,2021-03-03 10:28:43.594,R602,Agitator start,complete,2
21B26001E,2021-03-03 10:29:59.000,R602,Agitation,start,3
21B26001E,2021-03-03 11:37:25.112,R602,Pump adjustment,complete,4
21B26001E,2021-03-03 11:43:00.253,R602,Pump adjustment,complete,5
21B26001E,2021-03-03 11:43:04.471,R602,Pump start,complete,6
21B26001E,2021-03-03 11:44:09.218,R602,Pump adjustment,complete,7
21B26001E,2021-03-03 11:44:16.666,R602,Pump adjustment,complete,8
21B26001E,2021-03-03 11:44:21.487,R602,Pump adjustment,complete,9
21B26001E,2021-03-03 11:44:32.319,R602,Pump adjustment,complete,10
21B26001E,2021-03-03 11:44:40.124,R602,Pump adjustment,complete,11
21B26001E,2021-03-03 11:44:54.085,R602,Pump adjustment,complete,12
